"ID_COLONNE","TYPE_DECHETS","VOLUME","OBS","PREHENSION","VOIE","MOT_DIRECTEUR","CODE_COM","CODE_POSTAL","COMMUNE","QUARTIER","POLE_NM","location"
"65","verre","3.0",""," ","Rue Flora Tristan","Tristan","440101","44620","La Montagne","","Sud-Ouest","[ 47.1871712783343 , -1.68770835308904]"
"66","verre","3.0",""," ","Rue du Grand Clos","Grand","440101","44620","La Montagne","","Sud-Ouest","[ 47.1846272466407 , -1.68747775300818]"
"67","verre","3.0",""," ","Rue du Grand Clos","Grand","440101","44620","La Montagne","","Sud-Ouest","[ 47.1846429495101 , -1.68747136470852]"
"68","verre","4.0",""," ","Route de Bouguenais","Bouguenais","440101","44620","La Montagne","","Sud-Ouest","[ 47.185250699061 , -1.67874943057725]"
"69","verre","4.0","déplacée 10/2014 suite à demande CC, propriétaire "," ","Rue de l'Avenir","Avenir","440101","44620","La Montagne","","Sud-Ouest","[ 47.1758735146496 , -1.67782069783213]"
"70","verre","4.0","déplacée 10/2014 suite à demande CC, propriétaire "," ","Rue de l'Avenir","Avenir","440101","44620","La Montagne","","Sud-Ouest","[ 47.1758833043709 , -1.67780629705937]"
"71","Emb. ménager","4.0","Déchèterie de la Montagne"," ","Chemin du Pérou","Pérou","440101","44620","La Montagne","","Sud-Ouest","[ 47.1770895166641 , -1.6831667882565]"
"72","verre","4.0",""," ","Allée des Camélias","Camélias","440120","44640","Le Pellerin","","Sud-Ouest","[ 47.1948083595064 , -1.75561141784974]"
"73","verre","4.0",""," ","Allée des Jonquilles","Jonquilles","440120","44640","Le Pellerin","","Sud-Ouest","[ 47.1981828650611 , -1.7533211131183]"
"74","verre","4.0",""," ","Rue de la Jouardais","Jouardais","440120","44640","Le Pellerin","","Sud-Ouest","[ 47.1956335654561 , -1.75928256598121]"
"75","verre","4.0",""," ","Rue de la Génolière","Gén","440120","44640","Le Pellerin","","Sud-Ouest","[ 47.1975647193793 , -1.76258430352217]"
"76","verre","4.0",""," ","Allée de la Source","Source","440120","44640","Le Pellerin","","Sud-Ouest","[ 47.200398150601 , -1.77788757943368]"
"77","verre","4.0",""," ","Route du Pé de Buzay","Pé","440120","44640","Le Pellerin","","Sud-Ouest","[ 47.2006521176324 , -1.81047434649921]"
"78","plastique","4.0",""," ","Boulevard du Tertre","Tertre","440109","44100","Nantes","Dervallières - Zola","Nantes-Ouest","[ 47.2153177254459 , -1.60561095462978]"
"79","verre","4.0",""," ","Place du Champ de Foire","Champ","440120","44640","Le Pellerin","","Sud-Ouest","[ 47.2017655845404 , -1.75926121250529]"
"80","verre","4.0",""," ","Rue de la Curé","Curé","440120","44640","Le Pellerin","","Sud-Ouest","[ 47.201257909745 , -1.7492299172691]"
"81","verre","4.0",""," ","Rue de l'Enclos","Enclos","440120","44640","Le Pellerin","","Sud-Ouest","[ 47.200430379739 , -1.75350194378975]"
"82","verre","4.0",""," ","Avenue Mathurin Métayer","Métayer","440120","44640","Le Pellerin","","Sud-Ouest","[ 47.2022077894789 , -1.76476005527437]"
"83","verre","4.0",""," ","Place du Champ de Foire","Champ","440120","44640","Le Pellerin","","Sud-Ouest","[ 47.2017390394275 , -1.75925312443185]"
"84","verre","5.0","déplacé fin sept 2014"," ","Rue du Général De Gaulle","Gaulle","440198","44840","Les Sorinières","Centre-Ouest","Loire, Sèvre et Vignoble","[ 47.147664416914 , -1.53264115783816]"
"85","verre","4.5","Parking du Pole Solidaire Raoul de Guigné"," ","Rue de l'Elan","Elan","440198","44840","Les Sorinières","Centre-Est","Loire, Sèvre et Vignoble","[ 47.1491344715124 , -1.52979627748665]"
"86","verre","5.0","Parking supermarché Lidl"," ","Rue des Ecoles","Ecoles","440198","44840","Les Sorinières","Centre-Est","Loire, Sèvre et Vignoble","[ 47.1493113785366 , -1.52695479576228]"
"87","verre","5.0","Parking supermarché Lidl"," ","Rue des Ecoles","Ecoles","440198","44840","Les Sorinières","Centre-Est","Loire, Sèvre et Vignoble","[ 47.1493225500151 , -1.52696013915034]"
"88","verre","4.5",""," ","Rue Hippolyte Derouet","Derouet","440198","44840","Les Sorinières","Centre-Est","Loire, Sèvre et Vignoble","[ 47.1481185116048 , -1.52289379631647]"
"89","verre","4.5","Complexe de loisirs Louis Barta"," ","Rue de la Guindonnière","Guindonnière","440198","44840","Les Sorinières","Centre-Est","Loire, Sèvre et Vignoble","[ 47.1506004218133 , -1.52094737030767]"
"90","verre","5.0",""," ","Rue des Papillons","Papillons","440198","44840","Les Sorinières","Centre-Est","Loire, Sèvre et Vignoble","[ 47.1460512460652 , -1.51847059560813]"
"91","verre","5.0",""," ","Rue des Lauriers","Lauriers","440198","44840","Les Sorinières","Centre-Ouest","Loire, Sèvre et Vignoble","[ 47.1454625444227 , -1.5288264847283]"
"92","verre","5.0",""," ","Rue du Moulin des Landes","Moulin","440198","44840","Les Sorinières","Campagne","Loire, Sèvre et Vignoble","[ 47.1350289825687 , -1.52956642674828]"
"93","verre","5.0",""," ","Rue de Chez Gâtin","Gâtin","440198","44840","Les Sorinières","Campagne","Loire, Sèvre et Vignoble","[ 47.1300409590616 , -1.51222797085552]"
"94","verre","4.5",""," ","Rue de la Blanchardière","Blanchardière","440198","44840","Les Sorinières","Campagne","Loire, Sèvre et Vignoble","[ 47.1447387794531 , -1.50698747885265]"
"95","verre","4.5",""," ","Rue de la Fernière","Fernière","440198","44840","Les Sorinières","Campagne","Loire, Sèvre et Vignoble","[ 47.1500890698359 , -1.51149766634585]"
"96","verre","5.0",""," ","Route de l'Orcerie","Orcerie","440198","44840","Les Sorinières","Nord-Est","Loire, Sèvre et Vignoble","[ 47.159749057878 , -1.51947005097613]"
"97","verre","5.0",""," ","Rue du Progrès","Progrès","440198","44840","Les Sorinières","Centre-Ouest","Loire, Sèvre et Vignoble","[ 47.1538900321249 , -1.5323586654222]"
"98","verre","5.0",""," ","Rue du Menhir","Menhir","440198","44840","Les Sorinières","Nord-Est","Loire, Sèvre et Vignoble","[ 47.1577250282014 , -1.52465854117335]"
"99","verre","5.0",""," ","Rue des Flamands","Flamands","440198","44840","Les Sorinières","Centre-Est","Loire, Sèvre et Vignoble","[ 47.1522414376312 , -1.52601648290671]"
"100","verre","2.75",""," ","Lieu-dit Le Taillis","Taillis","440198","44840","Les Sorinières","Campagne","Loire, Sèvre et Vignoble","[ 47.1305362425127 , -1.51611470980933]"
"101","verre","5.0","Centre Technique Municipal"," ","Rue de la Maillardière","Maillardière","440198","44840","Les Sorinières","Nord-Est","Loire, Sèvre et Vignoble","[ 47.1591078279889 , -1.52194733193615]"
"102","verre","4.0",""," ","Rue de la Bauche Thiraud","Thiraud","440143","44400","Rezé","Ragon","Loire, Sèvre et Vignoble","[ 47.161838900062 , -1.54663865726633]"
"103","verre","2.5",""," ","Allée Martin Luther King","King","440143","44400","Rezé","Pont Rousseau","Loire, Sèvre et Vignoble","[ 47.1921794886682 , -1.5461541313793]"
"104","verre","2.5",""," ","Rue René Cassin","Cassin","440143","44400","Rezé","Pont Rousseau","Loire, Sèvre et Vignoble","[ 47.1915738927065 , -1.54513986203301]"
"105","verre","2.5",""," ","Rue Georges Barbeau","Barbeau","440143","44400","Rezé","Pont Rousseau","Loire, Sèvre et Vignoble","[ 47.1919621412316 , -1.54935672596391]"
"106","verre","2.5",""," ","Rue Maurice Garand","Garand","440143","44400","Rezé","Pont Rousseau","Loire, Sèvre et Vignoble","[ 47.191972290532 , -1.55208383972591]"
"107","verre","2.5",""," ","Rue Emile Zola","Zola","440143","44400","Rezé","Hôtel de Ville","Loire, Sèvre et Vignoble","[ 47.1910287380501 , -1.55869414112073]"
"108","verre","4.0",""," ","Rue Henri Barbusse","Barbusse","440143","44400","Rezé","Hôtel de Ville","Loire, Sèvre et Vignoble","[ 47.1900022786153 , -1.56063881344257]"
