"ID_COLONNE","TYPE_DECHETS","VOLUME","OBS","PREHENSION","VOIE","MOT_DIRECTEUR","CODE_COM","CODE_POSTAL","COMMUNE","QUARTIER","POLE_NM","location"
"1","verre","0.0",""," ","Avenue de la Morlière","Morlière","440114","44700","Orvault","Cholière/Bigeottière/Salentine","Erdre et Cens","[ 47.2478833296587 , -1.60224494264161]"
"2","verre","0.0",""," ","Rue de Kindia","Kindia","440114","44700","Orvault","Petit-Chantilly/Bignon/Morlière","Erdre et Cens","[ 47.2523915318198 , -1.59520375370315]"
"3","verre","0.0",""," ","Rue de Kindia","Kindia","440114","44700","Orvault","Petit-Chantilly/Bignon/Morlière","Erdre et Cens","[ 47.2523864380974 , -1.59517155245601]"
"4","verre","0.0","Parking Salle du Parc La Gobinière"," ","Avenue de la Ferrière","Ferrière","440114","44700","Orvault","Bois-St-Louis/Plaisance/Ferrière/Val d'Or","Erdre et Cens","[ 47.2485135861187 , -1.5858411548586]"
"5","verre","0.0",""," ","Rue du Taillis","Taillis","440114","44700","Orvault","Bois-St-Louis/Plaisance/Ferrière/Val d'Or","Erdre et Cens","[ 47.2488923396082 , -1.58016174608851]"
"6","verre","0.0",""," ","Avenue de la Patouillerie","Patouillerie","440114","44700","Orvault","Bois-St-Louis/Plaisance/Ferrière/Val d'Or","Erdre et Cens","[ 47.2461024760777 , -1.57984683026861]"
"7","verre","0.0",""," ","Rue des Hortensias","Hortensias","440114","44700","Orvault","Bois-St-Louis/Plaisance/Ferrière/Val d'Or","Erdre et Cens","[ 47.2475102541166 , -1.58281555190989]"
"8","verre","0.0",""," ","Avenue de la Ferrière","Ferrière","440114","44700","Orvault","Bois-St-Louis/Plaisance/Ferrière/Val d'Or","Erdre et Cens","[ 47.2462398788172 , -1.58934163473685]"
"9","verre","0.0",""," ","Avenue de la Ferrière","Ferrière","440114","44700","Orvault","Bois-St-Louis/Plaisance/Ferrière/Val d'Or","Erdre et Cens","[ 47.2462237699676 , -1.58936015231899]"
"10","verre","0.0",""," ","Avenue Robert Chasteland","Chasteland","440114","44700","Orvault","Bois-St-Louis/Plaisance/Ferrière/Val d'Or","Erdre et Cens","[ 47.2430813146624 , -1.58773241376571]"
"11","verre","0.0",""," ","Avenue de la Vilaine","Vilaine","440114","44700","Orvault","Bois-St-Louis/Plaisance/Ferrière/Val d'Or","Erdre et Cens","[ 47.2420009041405 , -1.59040032070823]"
"12","verre","0.0",""," ","Avenue de l'Ille","Ille","440114","44700","Orvault","Bois-St-Louis/Plaisance/Ferrière/Val d'Or","Erdre et Cens","[ 47.2405704467979 , -1.59019530512187]"
"13","verre","0.0",""," ","Avenue du Bois Raguenet","Bois","440114","44700","Orvault","Bois-Raguenet/Petit-Moulin/Conraie","Erdre et Cens","[ 47.2717751273906 , -1.59288905700416]"
"14","verre","0.0",""," ","Chemin des Matines","Matines","440114","44700","Orvault","Bois-Raguenet/Petit-Moulin/Conraie","Erdre et Cens","[ 47.2683423641092 , -1.599357244601]"
"15","verre","0.0",""," ","Avenue du Bois Raguenet","Bois","440114","44700","Orvault","Bois-Raguenet/Petit-Moulin/Conraie","Erdre et Cens","[ 47.2666257111217 , -1.59877002049695]"
