nom,categorie,equipement,statut,quartier,date,lat,lon,image,page,,,,,
Kanopé,Composteur en résidence - copropriété,,,,,47.210586944941184,-1.5284836292266846,,http://www.compostri.fr/compost/kanope/,,,,,#NOM ?
Test Cyrus,Composteur Pédagogique en établissement scolaire,,,,,,,http://www.compostri.fr/wp-includes/images/media/default.png,http://www.compostri.fr/compost/test-cyrus/,,,,,
Test Pascal,Siège de Compostri,Pavillon 2.5 m3,En service,Nantes centre,09-07-2015,47.11.2381 N,001.31.6140 W,http://www.compostri.fr/wp-content/uploads/2015/07/IMG00001-20091108-1202-150x150.jpg,http://www.compostri.fr/compost/test-pascal/,,,,,
Test Raphael,Composteur sur des jardins collectifs,Pavillon 20 m3,En projet,,01-05-2015,42.2333333,-8.7166667,http://www.compostri.fr/wp-content/uploads/2015/07/vigo-150x150.jpg,http://www.compostri.fr/compost/test-raphael/,,,,,
Test Antoine,,Pavillon 2.5 m3,En projet,La Chapelle/Erdre,08-07-2015,48,-2,http://www.compostri.fr/wp-content/uploads/2015/07/Software-Freedom-Conservancy-150x150.png,http://www.compostri.fr/compost/test-antoine/,,,,,
Monfoulon &#8211; Nantes,Composteur en résidence - copropriété,,,,,47.2247686,-1.548586699999987,http://www.compostri.fr/wp-content/uploads/2015/06/installation-et-mise-en-route-1-150x150.jpg,http://www.compostri.fr/compost/monfoulon-nantes/,,,,,
Utrillo &#8211; Rezé,Composteur ouvert au quartier,,,,,47.1808775,-1.5616284999999834,http://www.compostri.fr/wp-content/uploads/2015/06/photo-groupe-150x150.jpeg,http://www.compostri.fr/compost/utrillo-reze/,,,,,
Square Vertais &#8211; Ile de Nantes,Composteur ouvert au quartier,,,,,47.202292,-1.546508000000017,,http://www.compostri.fr/compost/square-vertais-ile-de-nantes/,,,,,
Ca pousse en amont,Composteur ouvert au quartier,,,,,47.2099443,-1.5246918000000278,,http://www.compostri.fr/compost/ca-pousse-en-amont/,,,,,
Environnements solidaires,Composteur ouvert au quartier,,,,,,,,http://www.compostri.fr/compost/environnements-solidaires/,,,,,
