"nom";"categorie";"equipement";"statut";"lieu";"date";"annee";"lat";"lon";"image";"page"
"60B";"Composteur ouvert au quartier";"Pavillon 5 m3";"En service";"Doulon - Bottière";"23-06-2016";"2016";"47.238935";"-1.5197619999999998";"http://www.compostri.fr/wp-content/uploads/2016/06/Fete60B16734-e1466756703529-150x150.jpg";"http://www.compostri.fr/compost/60b/"
"La Grande Noue";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Doulon - Bottière";"07-07-2016";"2016";"47.236173";"-1.520948";"http://www.compostri.fr/wp-content/uploads/2016/07/15-Document-1-page001-150x150.jpeg";"http://www.compostri.fr/compost/la-grande-noue/"
"AMAP &#8211; Ecole Alphonse Braud";"Composteur ouvert au quartier";"Silos 2x1m3";"En service";"Bellevue - Chantenay - Sainte-Anne";"24-06-2016";"2011";"47.202296";"-1.586049";"http://www.compostri.fr/wp-content/uploads/2015/01/scene12_72dpi-150x150.jpg";"http://www.compostri.fr/compost/ecole-alphonse-braud/"
"Square Washington";"Composteur ouvert au quartier";"Silos 2x1m3";"En service";"Breil - Barberie";"14-06-2016";"2016";"47.233325";"-1.573991";"http://www.compostri.fr/wp-content/uploads/2016/06/15-Document-1-page001-150x150.jpeg";"http://www.compostri.fr/compost/square-washington/"
"Square Jean-Baptiste Terrien";"Composteur ouvert au quartier";"Silos 2x1m3";"En projet";"Rezé";"25-06-2016";"2016";"47.18439";"-1.550647";"http://www.compostri.fr/wp-content/uploads/2016/06/15-Document-1-page001-150x150.jpeg";"http://www.compostri.fr/compost/square-jean-baptiste-terrien/"
"Place Emile Fritsch";"Composteur ouvert au quartier";"Silos 2x1m3";"En projet";"Hauts-Pavés - Saint-Félix";"27-05-2016";"2016";"47.228768";"-1.566054";"http://www.compostri.fr/wp-content/uploads/vignette-compostage-150x150.jpg";"http://www.compostri.fr/compost/place-emile-fritch/"
"CSC Allée Verte";"Composteur ouvert au quartier";"Silos 2x1m3";"En service";"Saint-Sébastien-sur-Loire";"27-04-2016";"2016";"47.195262";"-1.490196";"http://www.compostri.fr/wp-content/uploads/2016/03/CSC-Allée-verte-150x150.jpg";"http://www.compostri.fr/compost/csc-allee-verte/"
"Bois de Chézine";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Saint-Herblain";"18-03-2016";"2016";"47.230758";"-1.594751";"http://www.compostri.fr/wp-content/uploads/2016/03/15-Document-1-page001-150x150.jpeg";"http://www.compostri.fr/compost/la-chezine/"
"FJT Embarcadère";"Composteur en résidence - copropriété";"Pavillon 1,5 m3";"En service";"Nantes centre";"24-06-2016";"2016";"47.214237";"-1.568532";"http://www.compostri.fr/wp-content/uploads/2016/03/Le-33-2-150x150.jpg";"http://www.compostri.fr/compost/fjt-embarcadere/"
"La Cruère";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Bellevue - Chantenay - Sainte-Anne";"11-06-2016";"2016";"47.202082";"-1.604951";"http://www.compostri.fr/wp-content/uploads/2015/12/scene_fete_bestioles-copyright-150x150.jpeg";"http://www.compostri.fr/compost/la-cruere/"
"Bois de Chézine";"";"Silos 2x1m3";"En projet";"Saint-Herblain";"26-03-2016";"2016";"47.230758";"-1.594751";"http://www.compostri.fr/wp-content/uploads/2015/12/scene_fete_bestioles-copyright-150x150.jpeg";"http://www.compostri.fr/compost/bois-de-chezine/"
"Square Flaubert";"";"Silos 2x1m3";"En service";"Rezé";"12-03-2016";"2016";"47.184245";"-1.557209";"http://www.compostri.fr/wp-content/uploads/2015/01/15-Document-1-page001-150x150.jpeg";"http://www.compostri.fr/compost/square-flaubert/"
"Ecole de Saint Aignan de Grandlieu";"Composteur ouvert au quartier, Composteur Pédagogique en établissement scolaire";"Pavillon 5 m3";"En service";"Saint-Aignan-de-Grand-Lieu";"00-00-2011";"2011";"47.121276";"-1.637503";"http://www.compostri.fr/wp-content/uploads/2016/01/Ecole-de-Saint-Aignan-Visite-élus-sarthe-150x150.jpeg";"http://www.compostri.fr/compost/ecole-de-saint-aignan-de-grandlieu/"
"Maison de Coluche";"Composteur ouvert au quartier";"Silos 2x2.5m3";"En service";"Doulon - Bottière";"";"2015";"47.230049";"-1.504224";"http://www.compostri.fr/wp-content/uploads/2016/01/20151212_114123-150x150.jpg";"http://www.compostri.fr/compost/maison-de-coluche/"
"Canopia";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Doulon - Bottière";"25-06-2016";"2015";"47.243183 ";"-1.517386";"http://www.compostri.fr/wp-content/uploads/2015/01/15-Document-1-page001-150x150.jpeg";"http://www.compostri.fr/compost/canopia/"
