ID,CODE,NOM,STATUT,DESCRIPTION,DESCRIPTION_EN,ADRESSE,ADRESSE_CPLT,CP,COMMUNE,TEL,WEB,EMAIL,TWITTER,FACEBOOK,GOOGLE_PLUS,HORAIRES,OBJETS_RECUPERES,OBJETS_EN,CATEG_OBJETS,latitude,longitude,ORIGINE_INFO,Horaires,Acceptez-vous que ces informations soient publiques ?
1,stco_reemploi_popfringues,Pop' Fringues (Secours Populaire Français Nantes),Association,"Dans une boutique d'environ 20 mètres carrés, vous trouverez des vêtements, livres, jouets, vaisselle.","Clothing, books, toys, dishes.",22 quai Ernest Renaud,,44100,NANTES,02 40 69 38 22,https://www.secourspopulaire.fr/brive/pop-fringues,,,,,0101-3112_lu+ma+je+ve_13h00-17h00,"Vêtements, bibelots, livres, pull, pantalon, veste","Clothing, trinkets, books, sweater, pants, jacket","vêtements, divers, livres/BD/CD/DVD",47.20508,-1.575083,MieuxTrierANantes 07/2016,"Lundi, mardi, jeudi, vendredi de 13h à 17h",
2,stco_reemploi_solidarimeuble,Solidari'meubles (Secours Populaire Français Nantes),Association,"Vous ne savez que faire de vos meubles, vos appareils, de vos nécessaires ménager ou de vos livres qui méritent une seconde vie, pensez à en faire don, et ainsi vous pourrez apporter une aide précieuse aux plus déshérités.<br/>Dépôt des dons : Les mardi et jeudi de 9h30 à 12h et de 13h30 à 17h, Le vendredi de 9h30 à 12h et 13h30 à 15h30","You do not know what to do with your furniture, appliances, your necessary household or your books that deserve a second life, consider donating it, and so you can provide valuable assistance to the poorest. <br/> Depot Donations: The Tuesday and Thursday from 9:30 to 12 am and from 13h30 to 17h, Friday from 9:30 am to 12 noon and 1:30 p.m. to 3:30 p.m.",1 rue des Granits,,44100,NANTES,02 40 95 10 61,http://typo.spf-idf.org/granits.0.html,,,,,"0101-3112_ma+je_09h30-12h00+13h30-17h00,0101-3112_ve_09h30-12h00+13h30-15h30,","meuble,électroménager","furniture, household appliances","meuble, électroménager",47.198314,-1.596764,MieuxTrierANantes 07/2016,Dépôt les mardi et jeudi de 9h00 à 12h et de 13h30 à 17h. Ouverture tout public le 1er samedi du mois de 9h à 12h30 et les 3 derniers vendredus de 9h30 à 12h et de 13h30 à 15h30.,
3,stco_reemploi_spopaffaires,S'POP affaires (Secours Populaire Français Nantes),Association,"Vêtements, petits mobiliers, livres, jouets, vaisselle, bibelots.","Clothing, small furniture, books, toys, dishes.",31 chaussée de la Madeleine,,44000,NANTES,02 40 29 45 26,https://www.secourspopulaire.fr/spop-affaires,,,,,"0101-3112_lu+ma+je_10h00-12h30+14h00-17h00,0101-3112_ve_14h00-17h00","vêtement, petit mobilier, livre, jouet, vaisselle, pull, pantalon, veste","clothing, small furniture, books, toys, dishes, sweater, pants, jacket","vêtements, divers, livres/BD/CD/DVD",47.210229,-1.550847,MieuxTrierANantes 07/2016,"Lundi, mardi et jeudi de 10h à 12h30 et de 14h à 17h. Le vendredi de 14h à 17h",
4,stco_reemploi_transformeurs,Transformeurs,Association,"Nous récupérons les vélos. Ils sont démontés et réparés.<br/><br/>Nous sommes ouverts également pour la réparation d'objets de la maison, tels que : mobiliers, ustensiles, jouets, petites réparations électriques (fil, interrupteur, douille...), éléments de décoration...<br/><br/>. ATTENTION, nous ne pouvons garantir la réussite des réparations, mais nous essaierons d'identifier la panne et de vous proposer une solution économique.<BR/>Objets récupérés : vélos entiers, pièces détachées fonctionnelles, accessoires, équipements","We collect the bikes. They are disassembled and repaired <br/> We are open also for the repair of household objects, such as:. Furniture, utensils, toys, small electrical repairs (wire, switch, socket ...) , decorative items ... <br/>. ATTENTION, we can not guarantee the success of repairs, but we will try to identify the fault and to offer an economical solution.","28, bd Winston Churchill",,44100,NANTES,02 40 36 60 68,,atelierbelevue@transformeurs.net,,"https://www.facebook.com/profile.php?id=100009486609448"".",,"0101-3112_me_14h00-18h00,0101-3112_je_17h00-20h00",Vélo,"bicycle,bike",vélo,47.208928,-1.610673,"Envoyé par mail à mieuxtrieranantes@gmail.com, le 25/09/2015","Mercredi 14h00-18h00,Jeudi 17h00-20h00",OUI
5,stco_reemploi_velocampus,Velocampus,Association,"Vélocampus est une association qui anime des ateliers participatifs et solidaires qui visent à fournir aux participants une certaine autonomie à l'entretien et la réparation de leur vélo. C'est ce qu'on appelle la vélonomie ! Ils permettent de nombreux échanges et une pratique pour acquérir, appliquer et aussi transmettre des savoir-faire dans ce domaine.<br/>Nous récupérons tous types de vélos, dans tous les états, pour leur offrir une seconde vie.<BR/>Objets récupérés : vélos,pièces,carcasses","Velocampus is an association that conducts participatory workshops and solidarity that aim to provide participants with some autonomy for the maintenance and repair their bikes. It's called the vélonomie! They allow many exchanges and practical to acquire, apply and also transmit know-how in this field. <br/> We collect all bikes in all states, to offer them a second life.",3 chemin censive du tertre,,44300,NANTES,02 40 16 26 45,http://www.velocampus.net/,contact@velocampus.net,,https://www.facebook.com/pages/Velocampus-Nantes/349718938395583,,0101-3112_lu+ma+me+je+ve_13h30-18h,Vélo,"bicycle,bike",vélo,47.243274,-1.554955,"Actualisation par mail à mieuxtrieranantes@gmail.com, le 18/04/2016","accueil du mardi au vendredi de 13h30 à 18h ; ateliers de réparation : mardi 13h30-17h30 et 19h30-22h, mercredi 16h-20h, jeudi 13h30-17h30",
6,stco_reemploi_dechetpaimboeuf,Déchèterie Paimboeuf / Saint Viaud,Entreprise,"Certains déchets ne sont pas acceptés en déchèteries : ordures ménagères et tri sélectif, pneumatiques (sauf pneumatiques vélo), bouteilles de gaz, extincteurs, déchets explosifs ou radioactifs, cadavres d’animaux ou déchets anatomiques, médicaments, déchets hospitaliers, bâches agricoles, souches d’arbres, épaves de véhicules à moteur…","Some wastes are not accepted in déchèteries: refuse and recycling, tires (except bicycle tires), gas bottles, fire extinguishers, explosives or radioactive waste, animal carcasses or anatomical waste, medicines, hospital waste, agricultural sheeting, strains trees, motor vehicle wrecks ...",6 Bd Dumesnildot - BP 3014,,44560,PAIMBOEUF,02 40 27 75 15,http://www.cc-sudestuaire.fr/les-decheteries/,environnement@cc-sudestuaire.fr,,,,,,,,47.286783,-2.025536,"Renseigné sur formulaire de mieuxtrieranantes.fr, le 15/07/2014",,OUI
7,stco_reemploi_retzemploi_saintepaz,Atelier du Retz Emploi (Sainte-Pazanne),Association,"Collecte, revente à petit prix de ce qui est récupérable, tri en vue de recyclage : vaisselle, jouets, livres, disques, électroménager en état de fonctionnement, outils, vêtements, chaussures, bibelots, meubles...<br/><br/>Permances sur Déchèterie du Pont-Béranger","Collection, resale at low prices what is recoverable, sorting for recycling: dishes, toys, books, disks, appliances in working order, tools, clothes, shoes, trinkets, furniture ... <br/> <br /> Permances Recycling center on the Pont Beranger",7 impasse du Clos Neuf - ZA les Berthaudières,,44680,SAINTE-PAZANNE,02 40 65 89 09,http://www.atelierduretzemploi.org,contact@atelierduretzemploi.org,,,,0101-3112_me+sa_10h00-18h,"vélo,mobilier,textile,vaisselle,jouet,puériculture,livre,CD,DVD,outillage,matériel électrique","bicycle, furniture, textiles, tableware, toy, baby, book, CD, DVD, tools, electrical equipment","meuble, livres/bd/cd/dvd, jouet, vêtements, divers",47.112545,-1.802187,"Renseigné sur formulaire de mieuxtrieranantes.fr, le 22/07/2014","le MERCREDI de 10h à 18h, le SAMEDI de 10h à 18h",OUI
8,stco_reemploi_retzemploi_lepelerin,Atelier du Retz Emploi (Le Pèlerin),Association,"Collecte, revente à petit prix de ce qui est récupérable, tri en vue de recyclage : vaisselle, jouets, livres, disques, électroménager en état de fonctionnement, outils, vêtements, chaussures, bibelots, meubles...<br/><br/>Permanences sur Déchèterie du Pont-Béranger","Collection, resale at low prices what is recoverable, sorting for recycling: dishes, toys, books, disks, appliances in working order, tools, clothes, shoes, trinkets, furniture ... <br/> <br /> Permanences Recycling center on the Pont Beranger",18 rue du docteur Sourdille,,44640,LE PELLERIN,06 77 63 83 04,http://www.atelierduretzemploi.org,contact@atelierduretzemploi.org,,,https://drive.google.com/file/d/0B5dknMvA6hy8N0VERkJpUzIxaDg/edit?usp=sharing,0101-3112_me+sa_10h00-18h,"vélo,mobilier,textile,vaisselle,jouet,puériculture,livre,CD,DVD,outillage,matériel électrique","bicycle, furniture, textiles, tableware, toy, baby, book, CD, DVD, tools, electrical equipment","meuble, livres/bd/cd/dvd, jouet, vêtements, divers",47.200633,-1.755177,"Renseigné sur formulaire de mieuxtrieranantes.fr, le 22/07/2014","le MERCREDI de 10h à 18h, le SAMEDI de 10h à 18h",OUI
9,stco_reemploi_retzemploi_lebreil,Atelier du Retz Emploi (Le Breil),Association,"Collecte, revente à petit prix de ce qui est récupérable, tri en vue de recyclage : vaisselle, jouets, livres, disques, électroménager en état de fonctionnement, outils, vêtements, chaussures, bibelots, meubles...<br/><br/>Permanences sur Déchèterie de Saint-Jean de Boiseau","Collection, resale at low prices what is recoverable, sorting for recycling: dishes, toys, books, disks, appliances in working order, tools, clothes, shoes, trinkets, furniture ... <br/> <br /> Permanences on Recycling center of Saint-Jean de Boiseau",78 rue des plantes (côté cour),,44640,NANTES,07 81 63 00 48,http://www.atelierduretzemploi.org,contact@atelierduretzemploi.org,,,https://drive.google.com/file/d/0B5dknMvA6hy8N0VERkJpUzIxaDg/edit?usp=sharing,0101-3112_me+sa_10h00-18h,"vélo,mobilier,textile,vaisselle,jouet,puériculture,livre,CD,DVD,outillage,matériel électrique","bicycle, furniture, textiles, tableware, toy, baby, book, CD, DVD, tools, electrical equipment","meuble, livres/bd/cd/dvd, jouet, vêtements, divers",47.231095,-1.590294,"Renseigné sur formulaire de mieuxtrieranantes.fr, le 22/07/2014","le MERCREDI de 10h à 18h, le SAMEDI de 10h à 18h",OUI
10,stco_reemploi_retzemploi_saintbrevin,Atelier du Retz Emploi (Saint Brévin),Association,"Collecte, revente à petit prix de ce qui est récupérable, tri en vue de recyclage : vaisselle, jouets, livres, disques, électroménager en état<br/><br/>Permanences sur Déchèterie de Saint-Brevin-les-Pins (Route de la gendarmerie)","Collection, resale at low prices what is recoverable, sorting for recycling: dishes, toys, books, disks, appliances capable <br/> Permanences on Recycling center of Saint-Brevin-les-Pins (Route Gendarmerie)","Chemin des potences, PA de la Guerche",,44250,SAINT-BREVIN-LES-PAINS,02 40 27 69 05,http://www.atelierduretzemploi.org,contact@atelierduretzemploi.org,,,https://drive.google.com/file/d/0B5dknMvA6hy8N0VERkJpUzIxaDg/edit?usp=sharing,0101-3112_me+sa_10h00-18h,"vélo,mobilier,textile,vaisselle,jouet,puériculture,livre,CD,DVD,outillage,matériel électrique","bicycle, furniture, textiles, tableware, toy, baby, book, CD, DVD, tools, electrical equipment","meuble, livres/bd/cd/dvd, jouet, vêtements, divers",47.240987,-2.154311,"Renseigné sur formulaire de mieuxtrieranantes.fr, le 22/07/2014","le MERCREDI de 10h à 18h, le SAMEDI de 10h à 18h",OUI
