gml_id,gid,num_col,type,vol_col,proj_exist,rue
mmm_pav_existants.1,1,V921,Verre,3,Existant,avenue Etienne Méhul
mmm_pav_existants.2,2,V337,Verre,0,Existant,RUE CIRCE
mmm_pav_existants.3,3,V341,Verre,0,Existant,RUE EDMOND LAUTARD
mmm_pav_existants.4,4,P109,Papier,0,Existant,AVENUE DE LODEVE
mmm_pav_existants.5,5,P103,Papier,0,Existant,RUE CATALAN
mmm_pav_existants.6,6,P105,Papier,0,Existant,AVENUE DE SAINT MAUR
mmm_pav_existants.7,7,P106,Papier,0,Existant,AVENUE JEAN MERMOZ
mmm_pav_existants.8,8,P111,Papier,0,Existant,AVENUE SAINT-LAZARE
mmm_pav_existants.9,9,V363,Verre,0,Existant,PLACE MARCEL GALOT
mmm_pav_existants.10,10,V366,Verre,0,Existant,AVENUE DU PONT JUVENAL
mmm_pav_existants.11,11,V368,Verre,0,Existant,RUE CATALAN
mmm_pav_existants.12,12,V646,Verre,0,Existant,RUE DU STADE
mmm_pav_existants.13,13,V429,Verre,0,Existant,RUE ROBESPIERRE
mmm_pav_existants.14,14,V444,Verre,0,Existant,RUE DE L'ARNEL
mmm_pav_existants.15,15,V446,Verre,0,Existant,RUE JACQUES BOUNIN
mmm_pav_existants.16,16,V004,Verre,0,Existant,CHEMIN DU PRADAS
mmm_pav_existants.17,17,P008,Papier,0,Existant,RUE ROMANI
mmm_pav_existants.18,18,V018,Verre,0,Existant,AVENUE DES APOLLONS
mmm_pav_existants.19,19,V020,Verre,0,Existant,CHEMIN DES MENDROUS
mmm_pav_existants.20,20,V023,Verre,0,Existant,CHEMIN DU PIOCH PELAT
mmm_pav_existants.21,21,V026,Verre,0,Existant,AVENUE DU 8 MAI 1945
mmm_pav_existants.22,22,P195,Papier,3,Existant,DECHETTERIE DE CASTELNAU
mmm_pav_existants.23,23,V031,Verre,0,Existant,CHEMIN DES CHENES
mmm_pav_existants.24,24,P015,Papier,0,Existant,AVENUE DE LA ROYALE
mmm_pav_existants.25,25,P017,Papier,0,Existant,RUE DE LA GUESSE
mmm_pav_existants.26,26,V037,Verre,0,Existant,CIMETIERRE
mmm_pav_existants.27,27,V038,Verre,0,Existant,CIMETIERRE
mmm_pav_existants.28,28,V039,Verre,0,Existant,RUE SAINTE-CATHERINE
mmm_pav_existants.29,29,V040,Verre,0,Existant,PLACE DU CARTEL
mmm_pav_existants.30,30,V836,Verre,0,Existant,AVENUE DE LA BORNIERE
mmm_pav_existants.31,31,T,Textile,0,Existant,
mmm_pav_existants.32,32,V310,Verre,0,Existant,RUE DE BARCELONE
mmm_pav_existants.33,33,V801,Verre,0,Existant,PLACE DE LA RONCERAIE
mmm_pav_existants.34,34,V824,Verre,0,Existant,AVENUE DES SOPHORAS
mmm_pav_existants.35,35,P313,Papier,0,Existant,AVENUE DES SOPHORAS
mmm_pav_existants.36,36,P347,Papier,0,Existant,RUE DE LA GARDIOLE
mmm_pav_existants.37,37,V857,Verre,0,Existant,CHEMIN DU MAS DE JAUMES
mmm_pav_existants.38,38,V814,Verre,0,Existant,RUE DES GARRIGUES BASSES
mmm_pav_existants.39,39,T,Textile,0,Existant,
mmm_pav_existants.40,40,P324,Papier,0,Existant,RUE JEAN-MARC ROUHAN
mmm_pav_existants.41,41,P331,Papier,3,Existant,CHEMIN DE VENDARGUES A ST AUNES
mmm_pav_existants.42,42,P338,Papier,0,Existant,DECHETERIE
mmm_pav_existants.43,43,P340,Papier,0,Existant,CHEMIN DES BARQUES
mmm_pav_existants.44,44,V388,Verre,0,Existant,AVENUE DE LA JUSTICE DE CASTELNAU
mmm_pav_existants.45,45,V402,Verre,0,Existant,RUE DU CURAT
mmm_pav_existants.46,46,V994,Verre,0,Existant,Avenue des moulins
mmm_pav_existants.47,47,T,Textile,0,Existant,PLACE MARECHAL DE LATTRE DE TASSIGNY
mmm_pav_existants.48,48,V185,Verre,0,Existant,MONTEE DES PICADOUS
mmm_pav_existants.49,49,V187,Verre,0,Existant,RUE DES ASPHODELES
mmm_pav_existants.50,50,V103,Verre,0,Existant,RUE DES CIGALES
mmm_pav_existants.51,51,V231,Verre,3,Existant,RUE DE LA ROQUETURIERE
mmm_pav_existants.52,52,V238,Verre,3,Existant,RUE DU PIOCH DE BOUTONNET
mmm_pav_existants.53,53,V245,Verre,3,Existant,AVENUE DU VAL DE MONTFERRAND
mmm_pav_existants.54,54,V613,Verre,0,Existant,D5 E5
mmm_pav_existants.55,55,V216,Verre,0,Existant,RUE ANDRE LE NOTRE
mmm_pav_existants.56,56,V249,Verre,0,Existant,ROUTE DE MENDE
mmm_pav_existants.57,57,P091,Papier,0,Existant,RUE DU CADUCEE
mmm_pav_existants.58,58,V072,Verre,0,Existant,RUE DE LAS DAVALADAS
mmm_pav_existants.59,59,V091,Verre,0,Existant,AVENUE PASTEUR
mmm_pav_existants.60,60,BD001,Biodéchets,2,Existant,Rue du Cinsault
mmm_pav_existants.61,61,BD003,Biodéchets,2,Existant,D112 centre-ville
mmm_pav_existants.62,62,BD002,Biodéchets,2,Existant,Rue de l'Abrivado
mmm_pav_existants.63,63,BD004,Biodéchets,2,Existant,Rue de la Fontaine
mmm_pav_existants.64,64,V110,Verre,0,Existant,RUE DES TERRASSES
mmm_pav_existants.65,65,V112,Verre,0,Existant,RUE DE LA CROIX DE GUILLERY
mmm_pav_existants.66,66,V115,Verre,0,Existant,RUE ANTOINE JEROME  BALARD
mmm_pav_existants.67,67,V121,Verre,0,Existant,RUE DES JARDINS
mmm_pav_existants.68,68,P041,Papier,0,Existant,RUE GASTON BAISSETTE
mmm_pav_existants.69,69,V397,Verre,0,Existant,AVENUE SAINT-LAZARE
mmm_pav_existants.70,70,P139,Papier,0,Existant,AVENUE DU PONT TRINQUAT
mmm_pav_existants.71,71,V469,Verre,0,Existant,RUE DES GROSEILLIERS
mmm_pav_existants.72,72,V321,Verre,0,Existant,RUE ADRIENNE BOLLAND
mmm_pav_existants.73,73,V360,Verre,0,Existant,BD DES ARCEAUX
mmm_pav_existants.74,74,V639,Verre,0,Existant,RUE DE LA GARDIOLE
mmm_pav_existants.75,75,P188,Papier,0,Existant,RUE DES CARIGNANS
mmm_pav_existants.76,76,P005,Papier,0,Existant,CHEMIN DE SUSSARGUES
mmm_pav_existants.77,77,V035,Verre,0,Existant,RUE SAINTE-CATHERINE
mmm_pav_existants.78,78,P300,Papier,0,Existant,RUE AIGUERELLES
mmm_pav_existants.79,79,P383,Papier,0,Existant,RUE DES CIGALES
mmm_pav_existants.80,80,V812,Verre,0,Existant,RUE DU BOURGUIDOU
mmm_pav_existants.81,81,V518,Verre,0,Existant,RUE DE LA VIEILLE POSTE
mmm_pav_existants.82,82,V570,Verre,0,Existant,RUE DU COLLEGE
mmm_pav_existants.83,83,BD005,Biodéchets,,Existant,Boulevard Paul Valéry
mmm_pav_existants.84,84,V394,Verre,3,Existant,STADE MOSSON
mmm_pav_existants.85,85,V567,Verre,3,Existant,Boulevard Sarrail
mmm_pav_existants.86,86,T,Textile,,Existant,Rue Jean Moulin
mmm_pav_existants.87,87,V123,Verre,0,Existant,CHEMIN DE CAYLUS
mmm_pav_existants.88,88,V150,Verre,0,Existant,AVENUE DES PLATANES
mmm_pav_existants.89,89,V153,Verre,0,Existant,D21 E1
mmm_pav_existants.90,90,V156,Verre,0,Existant,D132
mmm_pav_existants.91,91,V208,Verre,0,Existant,ROND POINT ROBERT SHUMANN
mmm_pav_existants.92,92,V474,Verre,3,Existant,AV.  DU PR. E. JEANBRAU
mmm_pav_existants.93,93,V236,Verre,3,Existant,RUE DE MONTASINOS
mmm_pav_existants.94,94,V413,Verre,0,Existant,BOULEVARD BERTHELOT
mmm_pav_existants.95,95,V510,Verre,0,Existant,RUE FLAUGERGUES
mmm_pav_existants.96,96,V514,Verre,0,Existant,RUE HENRI BERGSON
mmm_pav_existants.97,97,V515,Verre,0,Existant,RUE TYCHO BRAHE
mmm_pav_existants.98,98,V520,Verre,0,Existant,RUE LOUISE MICHEL
mmm_pav_existants.99,99,V521,Verre,0,Existant,RUE PAUL MARES
mmm_pav_existants.100,100,V522,Verre,0,Existant,RUE ASTIER DE LA VIGERIE
mmm_pav_existants.101,101,V584,Verre,0,Existant,ROUTE DE MONTPELLIER
mmm_pav_existants.102,102,V856,Verre,0,Existant,RUE DES CHASSEURS
mmm_pav_existants.103,103,V860,Verre,0,Existant,AVENUE LEONARD DE VINCI
mmm_pav_existants.104,104,T,Textile,,Existant,Rue Albert Camus
mmm_pav_existants.105,105,T,Textile,,Existant,Route de Montferrier
mmm_pav_existants.106,106,T,Textile,,Existant,Boulevard de la liberté
