"MATRICULE","TYPE_DECHETS","QUARTIER","NUM_VOIE","ADRESSE","CLE_VOIE","CAPACITE_CUVE","CAPACITE_FOSSE","PREHENSION","COULEUR","FINITION_PLATEFORME","TRAPPE_COMMERCANT","TYP_AVALOIR","ISOLATION_PHONIQUE","NUMERO_POLE_NANTESMETROPOLE","NOM_POLE_NANTESMETROPOLE","COD_COM","COMMUNE","location"
"","","Contrie","53","Rue de la Contrie","Contrie","0.0","0.0","","","","0","","0","8","Nantes-Ouest","440109","Nantes","[ 47.2201101596193 , -1.59708661853519]"
"","","Contrie","53","Rue de la Contrie","Contrie","0.0","0.0","","","","0","","0","8","Nantes-Ouest","440109","Nantes","[ 47.2201224084689 , -1.59709054821659]"
"","","Contrie","53","Rue de la Contrie","Contrie","0.0","0.0","","","","0","","0","8","Nantes-Ouest","440109","Nantes","[ 47.220133679545 , -1.59709289137413]"
"","","Contrie","53","Rue de la Contrie","Contrie","0.0","0.0","","","","0","","0","8","Nantes-Ouest","440109","Nantes","[ 47.220098888543 , -1.59708427537999]"
"DS4001","carton_ent","Waldeck - Sully","0","place waldeck rousseau","rousseau","4.0","4.0","kinshofer","gris RAL 9007","avec réservation","0","opercule","0","9","Nantes-Loire","440109","Nantes","[ 47.2277755165204 , -1.55166094244668]"
"DS4005","carton_ent","Talensac - Pont Morand","7","rue basse porte","porte","4.0","4.0","kinshofer","vert_nantais","polyester","0","opercule","0","8","Nantes-Ouest","440109","Nantes","[ 47.2209132658601 , -1.55793425507587]"
"DS4006","carton_ent","Malakoff","0","rue de chypre","chypre","4.0","5.0","kinshofer","gris RAL 9007","avec réservation","0","opercule","0","9","Nantes-Loire","440109","Nantes","[ 47.2164502367032 , -1.52169932453553]"
"DS4007","carton_ent","Malakoff","11","rue de norvège","norvege","4.0","4.0","kinshofer","gris fonte","polyester","0","opercule","0","9","Nantes-Loire","440109","Nantes","[ 47.2162610715246 , -1.52476006562795]"
"DS4008","carton_ent","Lauriers","0","Rue du Rhône","Rhône","4.0","5.0","kinshofer","gris RAL 9007","avec réservation","0","opercule","0","8","Nantes-Ouest","440109","Nantes","[ 47.2030821425474 , -1.60051261580461]"
"DS4009","carton_ent","Mairie de Chantenay","0","rue de la marseillaise (mairie chantenay)","marseillaise","4.0","4.0","kinshofer","gris fonte","polyester","0","opercule","0","8","Nantes-Ouest","440109","Nantes","[ 47.2067719359397 , -1.58805806191802]"
"DS4010","carton_ent","Rd pt de Vannes","0","rue chanoine larose","larose","4.0","4.0","kinshofer","gris moyen RAL 083820","avec réservation","0","capot","0","8","Nantes-Ouest","440109","Nantes","[ 47.2322319380939 , -1.57810883300066]"
"DS4011","carton_ent","Gde Grèneraie - Clos toreau","0","Rue Louis Loucheur","Loucheur","4.0","4.0","kinshofer","gris fonte","polyester","0","opercule","0","2","Loire, Sèvre et Vignoble","440109","Nantes","[ 47.1934248349908 , -1.52712616986133]"
"DS4012","carton_ent","Breil-Malville","0","Rue Pierre de Coubertin","coubertin","4.0","5.0","kinshofer","gris RAL 9007","tôle larmée","0","clapet","0","8","Nantes-Ouest","440109","Nantes","[ 47.229005945633 , -1.58776957076579]"
"DS4013","ds_ent","Chateau de Rezé","0","Allée de Boulogne","Boulogne","4.0","5.0","kinshofer","","tôle larmée","0","clapet","0","2","Loire, Sèvre et Vignoble","440143","Rezé","[ 47.1840396639536 , -1.56092221660993]"
"DS4014","ds_ent","Chateau de Rezé","10","Allée Paul Eluard","Eluard","4.0","5.0","kinshofer","","tôle larmée","0","clapet","0","2","Loire, Sèvre et Vignoble","440143","Rezé","[ 47.1839776592908 , -1.55790413510501]"
"DS4015","ds_ent","Chateau de Rezé","4","Allée de la Moine","Moine","4.0","5.0","kinshofer","","tôle larmée","0","clapet","0","2","Loire, Sèvre et Vignoble","440143","Rezé","[ 47.1837242871882 , -1.55959908494623]"
"DS4016","ds_ent","Chateau de Rezé","20","Allée Paul Eluard","Eluard","4.0","5.0","kinshofer","","tôle larmée","0","clapet","0","2","Loire, Sèvre et Vignoble","440143","Rezé","[ 47.1838033770531 , -1.55896913286374]"
"DS4017","ds_ent","Chateau de Rezé","12","Allée de la Moine","Moine","4.0","5.0","kinshofer","","tôle larmée","0","clapet","0","2","Loire, Sèvre et Vignoble","440143","Rezé","[ 47.183581640556 , -1.56046052861055]"
"DS4018","ds_ent","Chateau de Rezé","8","Allée Paul Eluard","Eluard","4.0","5.0","kinshofer","","tôle larmée","0","clapet","0","2","Loire, Sèvre et Vignoble","440143","Rezé","[ 47.184255611907 , -1.55639713108979]"
"DS4019","ds_ent","Chateau de Rezé","8","Allée Théophile Gautier","Gautier","4.0","5.0","kinshofer","","tôle larmée","0","clapet","0","2","Loire, Sèvre et Vignoble","440143","Rezé","[ 47.1841445259988 , -1.55739408213494]"
"DS4020","ds_ent","Chateau de Rezé","1","Allée Gustave Flaubert","Flaubert","4.0","5.0","kinshofer","","tôle larmée","0","clapet","0","2","Loire, Sèvre et Vignoble","440143","Rezé","[ 47.1847010729208 , -1.55732255462095]"
"DS4021","carton_ent","Malakoff","0","rue de suisse","suisse","4.0","5.0","kinshofer","gris RAL 9007","avec réservation","0","tambour","0","9","Nantes-Loire","440109","Nantes","[ 47.2170272769211 , -1.52326450683736]"
"DS4022","ds_ent","Chateau de Rezé","0","Allée de Boulogne","Boulogne","0.0","5.0","kinshofer","","tôle larmée","0","","0","2","Loire, Sèvre et Vignoble","440143","Rezé","[ 47.1843305810338 , -1.5610160483658]"
"DS5001","ds_ent","Trentemoult","0","Place Levoyer","levoyer","5.0","5.0","kinshofer","gris RAL 7022","avec réservation","0","tambour","0","2","Loire, Sèvre et Vignoble","440143","Rezé","[ 47.1942091795357 , -1.58139481253537]"
"DS5002","ds_ent","Trentemoult","0","Place Jean Bart","Bart","5.0","5.0","kinshofer","gris RAL 9007","tôle larmée","0","tambour","0","2","Loire, Sèvre et Vignoble","440143","Rezé","[ 47.193469553562 , -1.582965073934]"
