"_ID","LIEU_DISTRIBUTION","TYPE_LIEU","NUMERO","ADRESSE","QUARTIER","QUARTIER_CIBLE","TYPE_DISTRIBUTION","RDV1","HDEBUT1","HFIN1","RDV2","HDEBUT2","HFIN2","RDV3","HDEBUT3","HFIN3","RDV4","HDEBUT4","HFIN4","OBSERVATIONS","CODE_POSTAL","COMMUNE","location"
"81","BUSWAY Ile de Nantes","","15","Boulevard Général de Gaulle","Ile de Nantes","Ile de Nantes","RDV","12/03/2015","14:30","19:00","02/07/2015","14:30","19:00","26/11/2015","14:30","19:00","","","","","44200","Nantes","[ 47.2060894902992 , -1.53854590781718]"
"82","Place de la Galarne","","","Place de la Galarne","Ile de Nantes","Ile de Nantes","RDV","14/03/2015","09:00","13:00","04/07/2015","09:00","13:00","28/11/2015","09:00","13:00","","","","","44200","Nantes","[ 47.2085362258834 , -1.52935429124361]"
"78","Mairie Annexe Ile de Nantes","Mairie annexe","2","Rue René Viviani","Ile de Nantes","Ile de Nantes","PDIS","","","","","","","","","","","","","","44200","Nantes","[ 47.2064887575653 , -1.53805695280743]"
"75","Magasin Spar","Commerce","1","Boulevard de la Prairie au Duc","Ile de Nantes","Ile de Nantes","PDIS","","","","","","","","","","","","","","44200","Nantes","[ 47.2050820696464 , -1.55787114812441]"
"76","Boulangerie Pain de Sophie","Commerce","10","Boulevard Babin Chevaye","Ile de Nantes","Ile de Nantes","PDIS","","","","","","","","","","","","","","44200","Nantes","[ 47.2060001238051 , -1.54910705816115]"
"77","Boulangerie Le Fournil de Mangin","Commerce","1","Place Mangin","Ile de Nantes","Ile de Nantes","PDIS","","","","","","","","","","","","","","44200","Nantes","[ 47.2015607835123 , -1.54396702195568]"
"109","Ecole Jonelière","","76","Route de la Jonelière","Nantes Nord","Nantes Nord/Barberie","RDV","23/02/2015","14:30","19:00","15/06/2015","14:30","19:00","09/11/2015","14:30","19:00","","","","","44300","Nantes","[ 47.2523238818019 , -1.54648492508947]"
"106","Rue de la Fantaisie/Rue Clément Marot","","","Rue de la Fantaisie","Nantes Nord","Nantes Nord/Barberie","RDV","25/02/2015","14:30","19:00","17/06/2015","14:30","19:00","10/11/2015","14:30","19:00","","","","","44300","Nantes","[ 47.2530157668934 , -1.5698775521509]"
"107","Rue du Chêne Vert (Parking Beauséjour)","","","Rue du Chêne Vert","Breil - Barberie","Nantes Nord/Barberie","RDV","26/02/2015","14:30","19:00","18/06/2015","14:30","19:00","12/11/2015","14:30","19:00","","","","","44100","Nantes","[ 47.238619992713 , -1.58747180633725]"
"108","Rue Pierre Yvernogeau (skatepark)","","","Rue Pierre Yvernogeau","Breil - Barberie","Nantes Nord/Barberie","RDV","28/02/2015","09:00","13:00","20/06/2015","09:00","13:00","14/11/2015","09:00","13:00","","","","","44300","Nantes","[ 47.2416819425104 , -1.57269702373803]"
"105","Café tabac Le Sulky","Commerce","39","Boulevard des Tribunes","Nantes Nord","Nantes Nord/Barberie","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2486249344171 , -1.56854151413132]"
"102","Carrefour City","Commerce","14","Rue Guillaume Grootaers","Breil - Barberie","Nantes Nord/Barberie","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2388742571698 , -1.58500254760103]"
"103","Mairie Annexe Barberie","Mairie annexe","103","Rue Pierre Yvernogeau","Breil - Barberie","Nantes Nord/Barberie","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2408839755244 , -1.57215838506204]"
"104","Velo Campus","Autre","3","Chem de la Censive du Tertre","Nantes Nord","Nantes Nord/Barberie","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2431824722891 , -1.55410976861141]"
