"_ID","LIEU_DISTRIBUTION","TYPE_LIEU","NUMERO","ADRESSE","QUARTIER","QUARTIER_CIBLE","TYPE_DISTRIBUTION","RDV1","HDEBUT1","HFIN1","RDV2","HDEBUT2","HFIN2","RDV3","HDEBUT3","HFIN3","RDV4","HDEBUT4","HFIN4","OBSERVATIONS","CODE_POSTAL","COMMUNE","location"
"123","Super U Dalby","Commerce","66","Boulevard Dalby","Malakoff - Saint-Donatien","Saint-Donatien","Vente","","","","","","","","","","","","","","44000","Nantes","[ 47.2237968372807 , -1.53051590692239]"
"61","Association ADDA","Autre","5","B Rue de la Carterie","Hauts Pavés - Saint Félix","Hauts pavés/Saint Félix","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2292134745759 , -1.55464217210438]"
"4","Nantes Habitat Agence Jamet","Organisme HLM","52","Rue du Plessis Gautron","Bellevue - Chantenay - Sainte Anne","Bellevue - Chantenay","PDIS","","","","","","","","","","","","","","44100","Nantes","[ 47.2058151486922 , -1.60553954159112]"
"62","Intermarché","Commerce","15","Rue Félix Thomas","Hauts Pavés - Saint Félix","Hauts pavés/Saint Félix","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2302350847296 , -1.55396811379212]"
"88","Boulangerie La p'tite cantine","Commerce","4","Rue du Moulin des Rochettes","Nantes Nord","Nantes Nord","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2614647518517 , -1.58198910560769]"
"89","Boulangerie Le bon la croute la mie","Commerce","18","Rue des Renards","Nantes Nord","Nantes Nord","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2546569897184 , -1.56544154996568]"
"98","Velo Campus","Autre","3","Chem de la Censive du Tertre","Nantes Nord","Nantes Nord/Barberie","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2431824722891 , -1.55410976861141]"
"76","Boulangerie, Le Fournil de Mangin","Commerce","1","Place Mangin","Ile de Nantes","Ile de Nantes","PDIS","","","","","","","","","","","","","","44200","Nantes","[ 47.2015607835123 , -1.54396702195568]"
"112","Shopi","Commerce","1","Boulevard des Professeurs Sourdille","Malakoff - Saint-Donatien","Saint-Donatien","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2350815675807 , -1.54727264614668]"
"113","Intermarché","Commerce","20","Rue Pitre Chevalier","Malakoff - Saint-Donatien","Saint-Donatien","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2240146408693 , -1.5507635966278]"
"114","Boulangerie Le blé d'or","Commerce","30","Rue de Coulmiers","Malakoff - Saint-Donatien","Saint-Donatien","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2214550600641 , -1.53597049016502]"
"124","Pôle de Proximité Erdre et Loire","Pôle de proximité","2","Rue Edouard Nignon","Nantes Erdre","Erdre/Bottière/Ranzay/Perray","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2754117135983 , -1.51029315941679]"
"86","Piscine Petite Amazonie","Autre","15","Rue du Pont de l'Arche de Mauves","Malakoff - Saint-Donatien","Malakoff/Nantes Sud","vente_distrib_auto","","","","","","","","","","","","","","44000","Nantes","[ 47.2165885207839 , -1.53188966213418]"
"72","Carrefour Market","Commerce","","Rond Point de Vannes","Breil - Barberie","Hauts pavés/Saint Félix","Vente","","","","","","","","","","","","","","44100","Nantes","[ 47.2297310193542 , -1.5728357795022]"
"122","Intermarché","Commerce","20","Rue Pitre Chevalier","Malakoff - Saint-Donatien","Saint-Donatien","Vente","","","","","","","","","","","","","","44000","Nantes","[ 47.2241361571251 , -1.55092389659956]"
"5","Boulangerie","Commerce","25","Rue des Bourderies","Bellevue - Chantenay - Sainte Anne","Bellevue - Chantenay","PDIS","","","","","","","","","","","","","","44100","Nantes","[ 47.2063482878462 , -1.59703381329224]"
"6","Mairie Annexe Bellevue","Mairie annexe","4","Place des Lauriers","Bellevue - Chantenay - Sainte Anne","Bellevue - Chantenay","PDIS","","","","","","","","","","","","","","44100","Nantes","[ 47.2042621533403 , -1.60538731999842]"
"20","Mairie Centrale","Mairie","29","Rue de Strasbourg","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2187408227225 , -1.5536958967268]"
"21","Nantes Métropole, bâtiment Valmy","Service communautaire","11","Avenue Carnot","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.213772438875 , -1.54478429944349]"
"22","Carrefour City","Commerce","3","Rue Cassini","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2149613500515 , -1.56504320917249]"
"23","Carrefour City","Commerce","6","Avenue Carnot","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2141080267953 , -1.54563551728059]"
"24","Casino","Commerce","21","Chaussée de la Madeleine","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2107539109625 , -1.55128301666213]"
"25","Tabac Presse","Commerce","17","Allée Duguay Trouin","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2126326351651 , -1.55713180563729]"
"26","Tabac Presse Le Voltaire","Commerce","25","Rue Voltaire","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2115072896156 , -1.5669418362997]"
"27","Glup's","Commerce","10","Rue de la Fosse","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2137455319448 , -1.55888773622567]"
"28","Du Vert en Ville","Commerce","23","Rue Racine","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2142601633664 , -1.56527226639288]"
"29","Boulangerie","Commerce","4","Allée Duquesne","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.217194173303 , -1.55668673593576]"
"30","Papeterie Pouteau","Commerce","4","Rue de l'Evêché","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.218779776076 , -1.55070593629293]"
"31","Tabac Presse","Commerce","9","Rue de Budapest","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2166599968739 , -1.56003585012774]"
"32","Tabac Presse du Pilori","Commerce","2","Place du Pilori","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2162788431412 , -1.55302017441761]"
"33","Boulangerie La Mie Câline","Commerce","1","Allée Cassard","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2141405199086 , -1.55574826679528]"
"19","Pôle commercial Coubertin","","52","Boulevard Pierre de Coubertin","Breil - Barberie","Breil - Dervallières","RDV","19/03/2014","14:30","19:00","02/07/2014","14:30","19:00","03/12/2014","14:30","19:00","","","","","44100","Nantes","[ 47.2285238429887 , -1.58713886334568]"
"12","Ecole Jean Zay","","","Rue Lucien Aubert","Bellevue - Chantenay - Sainte Anne","Bellevue - Chantenay","RDV","16/01/2014","14:30","19:00","17/04/2014","14:30","19:00","25/09/2014","14:30","19:00","","","","","44100","Nantes","[ 47.2085657577645 , -1.60694146844681]"
"17","47 Rue Georges Mélies","","47","Rue Georges Mélies","Breil - Barberie","Breil - Dervallières","RDV","17/03/2014","14:30","19:00","30/06/2014","14:30","19:00","01/12/2014","14:30","19:00","","","","","44100","Nantes","[ 47.2332091642992 , -1.58579021535481]"
"18","Place des Dervallières","","","Place des Dervallières","Dervallières - Zola","Breil - Dervallières","RDV","22/03/2014","09:00","13:00","05/07/2014","09:00","13:00","06/12/2014","09:00","13:00","","","","","44100","Nantes","[ 47.2242121712555 , -1.59771687336643]"
"10","Place des Garennes","","","Place des Garennes","Bellevue - Chantenay - Sainte Anne","Bellevue - Chantenay","RDV","15/01/2014","14:30","19:00","16/04/2014","14:30","19:00","24/09/2014","14:30","19:00","","","","","44100","Nantes","[ 47.2017006961536 , -1.57775516968493]"
"55","Parking du gymnase Marsauderies","","1","Rue de Koufra","Nantes Erdre","Erdre/Bottière/Ranzay/Perray","RDV","17/02/2014","14:30","19:00","16/06/2014","14:30","19:00","17/11/2014","14:30","19:00","","","","","44300","Nantes","[ 47.245637014142 , -1.5283399998071]"
"50","22 Boulevard Professeur René Auvigné","","22","Boulevard Professeur René Auvigné","Nantes Erdre","Erdre/Bottière/Ranzay/Perray","RDV","19/02/2014","14:30","19:00","18/06/2014","14:30","19:00","19/11/2014","14:30","19:00","","","","","44300","Nantes","[ 47.2545247830002 , -1.51799911755854]"
"51","Place du Commandant Cousteau","","","Place du Commandant Cousteau","Doulon - Bottière","Erdre/Bottière/Ranzay/Perray","RDV","20/02/2014","14:30","19:00","19/06/2014","14:30","19:00","20/11/2014","14:30","19:00","","","","","44300","Nantes","[ 47.2401034784519 , -1.51309028430617]"
"52","Parking du Centre socio-culturel","","1","Rue Jules Grandjouan","Doulon - Bottière","Erdre/Bottière/Ranzay/Perray","RDV","22/02/2014","09:00","13:00","21/06/2014","09:00","13:00","22/11/2014","09:00","13:00","","","","","44300","Nantes","[ 47.2461633226959 , -1.51319004085688]"
"71","Place de Talensac","","","Place de Talensac","Hauts Pavés - Saint Félix","Hauts pavés/Saint Félix","RDV","26/03/2014","14:30","19:00","03/09/2014","14:30","19:00","10/12/2014","14:30","19:00","","","","","44000","Nantes","[ 47.2210157384752 , -1.55685571664186]"
"66","Devant l'église Saint-Pasquier","","","Place Emile Fritsch","Hauts Pavés - Saint Félix","Hauts pavés/Saint Félix","RDV","24/03/2014","14:30","19:00","01/09/2014","14:30","19:00","08/12/2014","14:30","19:00","","","","","44000","Nantes","[ 47.2288980938558 , -1.56577469386022]"
"67","TRAM Saint-Mihiel","","","Quai de Versailles","Hauts Pavés - Saint Félix","Hauts pavés/Saint Félix","RDV","27/03/2014","14:30","19:00","04/09/2014","14:30","19:00","11/12/2014","14:30","19:00","","","","","44000","Nantes","[ 47.2245848205917 , -1.55383600362569]"
"81","Place de la Galarne","","","Place de la Galarne","Ile de Nantes","Ile de Nantes","RDV","01/03/2014","09:00","13:00","28/06/2014","09:00","13:00","29/11/2014","09:00","13:00","","","","","44200","Nantes","[ 47.2085362258834 , -1.52935429124361]"
"78","Rue La Noue Bras de Fer (Ecole d'Architecture)","","","Rue La Noue Bras de Fer","Ile de Nantes","Ile de Nantes","RDV","24/02/2014","14:30","19:00","23/06/2014","14:30","19:00","24/11/2014","14:30","19:00","","","","","44200","Nantes","[ 47.2074615533588 , -1.55735377242907]"
"79","BUSWAY Ile de Nantes","","15","Boulevard Général de Gaulle","Ile de Nantes","Ile de Nantes","RDV","27/02/2014","14:30","19:00","26/06/2014","14:30","19:00","27/11/2014","14:30","19:00","","","","","44200","Nantes","[ 47.2060894902992 , -1.53854590781718]"
"84","Pôle commercial Malakoff","","","Boulevard de Sarrebruck","Malakoff - Saint-Donatien","Malakoff/Nantes Sud","RDV","06/01/2014","14:30","19:00","07/04/2014","14:30","19:00","15/09/2014","14:30","19:00","","","","","44000","Nantes","[ 47.2140541748747 , -1.52755394590332]"
"95","TRAM Santos Dumont","","","Rue des Renards","Nantes Nord","Nantes Nord","RDV","03/04/2014","14:30","19:00","11/09/2014","14:30","19:00","18/12/2014","14:30","19:00","","","","","44300","Nantes","[ 47.2596471391834 , -1.5679125622189]"
