"RIVOLI","LIBELLE","COMMUNE","MOT_DIRECTEUR","STATUT","TENANT","ABOUTISSANT","PRESTATION_COLLECTE","MODE_COLLECTE","TYPE_COLLECTE","OBS_PRESTATION_COLLECTE","BLEU_JOUR_COLLECTE","JAUNE_JOUR_COLLECTE","OBS_JOUR_COLLECTE","QUARTIER","OBS_QUARTIER"
"0200","Passage Alvar Aalto","NANTES","Aalto","PRIVEE","NANTES Rue de Pilleux","","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Dervallières - Zola",""
"0059","Ruelle Aino Aalto","NANTES","Aalto","PRIVEE","NANTES Venelle Lina Bo Bardi","","TRI'SAC","bacs","unique","","mardi et vendredi","","","Doulon - Bottière",""
"0010","Impasse de l'Abbaye","NANTES","Abbaye","PRIVEE","NANTES Rue de l'Abbaye","Impasse","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"0012","Rue de l'Abbaye","NANTES","Abbaye","PUBLIQUE","NANTES Rue Eugène Le Roux","NANTES Rue du Bois Hardy","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"0025","Allée des Abeilles","NANTES","Abeilles","PUBLIQUE","NANTES Rue Francis Portais","NANTES Rue de l'Adour","TRI'SAC","bacs","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"6584","Rue Pierre Abélard","NANTES","Abélard","PUBLIQUE","NANTES Boulevard des Anglais","NANTES Boulevard Jean XXIII","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Breil - Barberie",""
"0023","Impasse des Abélias","NANTES","Abélias","PRIVEE","NANTES Rue du Port Durand","Impasse","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Nantes Erdre",""
"0024","Rue de l'Abreuvoir","NANTES","Abreuvoir","PUBLIQUE","NANTES Place du Cirque","","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"0028","Avenue des Acacias","NANTES","Acacias","PRIVEE","NANTES Avenue Camus","NANTES Avenue Emile Boissier","TRI'SAC","bacs","unique","","mardi et vendredi","","","Hauts Pavés - Saint Félix",""
"0029","Rue des Acadiens","NANTES","Acadiens","PUBLIQUE","NANTES Place des Garennes","NANTES Rue de Miséry","TRI'SAC","bacs","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
