"ID_COLONNE","TYPE_DECHETS","VOLUME","OBS","PREHENSION","VOIE","MOT_DIRECTEUR","CODE_COM","CODE_POSTAL","COMMUNE","QUARTIER","POLE_NM","location"
"393","verre","4.0",""," ","Avenue des Grands Bois","Grands","440162","44800","St-Herblain","Nord","Loire-Chézine","[ 47.2375386911551 , -1.59546514510685]"
"394","verre","4.0",""," ","Boulevard du Val de Chézine","Val","440162","44800","St-Herblain","Nord","Loire-Chézine","[ 47.2341044207348 , -1.60027602474368]"
"395","verre","4.0",""," ","Boulevard du Val de Chézine","Val","440162","44800","St-Herblain","Nord","Loire-Chézine","[ 47.2340980926677 , -1.60024980335722]"
"396","verre","4.0",""," ","Avenue de l'Angevinière","Angevinière","440162","44800","St-Herblain","Nord","Loire-Chézine","[ 47.2451215633364 , -1.61076701335889]"
"397","verre","4.0",""," ","Rue du Zambèze","Zambèze","440162","44800","St-Herblain","Nord","Loire-Chézine","[ 47.2405183097393 , -1.61160770435366]"
"398","verre","4.0",""," ","Avenue de l'Angevinière","Angevinière","440162","44800","St-Herblain","Nord","Loire-Chézine","[ 47.2450821191146 , -1.60878352448255]"
"399","verre","4.0",""," ","Rue de l'Euphrate","Euphrate","440162","44800","St-Herblain","Nord","Loire-Chézine","[ 47.2429792781399 , -1.60766166329241]"
"400","verre","4.0",""," ","Rue du Mozambique","Mozambique","440162","44800","St-Herblain","Nord","Loire-Chézine","[ 47.2382991365053 , -1.61129240524874]"
"401","verre","4.0",""," ","Rue du Zambèze","Zambèze","440162","44800","St-Herblain","Nord","Loire-Chézine","[ 47.2405243877808 , -1.61158087871838]"
"402","verre","4.0",""," ","Rue Guy Mocquet","Mocquet","440162","44800","St-Herblain","Centre","Loire-Chézine","[ 47.2290774930387 , -1.59880935613358]"
"403","verre","4.0",""," ","Rue François Rabelais","Rabelais","440162","44800","St-Herblain","Centre","Loire-Chézine","[ 47.2304260242177 , -1.61730303691776]"
"404","verre","4.0",""," ","Avenue Condorcet","Condorcet","440162","44800","St-Herblain","Centre","Loire-Chézine","[ 47.2291829817014 , -1.60792171343521]"
"405","verre","4.0",""," ","Rue des Bas Moulins","Bas","440162","44800","St-Herblain","Centre","Loire-Chézine","[ 47.2284749422918 , -1.60626676161911]"
"406","verre","4.0",""," ","Rue des Hauts Moulins","Hauts","440162","44800","St-Herblain","Centre","Loire-Chézine","[ 47.225904098033 , -1.60823745731853]"
"407","papiercarton","4.0",""," ","Rue François Albert","Albert","440109","44200","Nantes","Ile de Nantes","Nantes-Loire","[ 47.2076757621487 , -1.54237216817923]"
"408","verre","4.0",""," ","Rue François Albert","Albert","440109","44200","Nantes","Ile de Nantes","Nantes-Loire","[ 47.2076544503733 , -1.5423615382569]"
"409","plastique","4.8",""," ","Rue Esnoult des Châtelets","Châtelets","440109","44200","Nantes","Nantes Sud","Loire, Sèvre et Vignoble","[ 47.1964108047686 , -1.54141816145543]"
"410","verre","4.0",""," ","Rue Esnoult des Châtelets","Châtelets","440109","44200","Nantes","Nantes Sud","Loire, Sèvre et Vignoble","[ 47.1963903060861 , -1.54138336987138]"
"411","papiercarton","4.8",""," ","Rue Esnoult des Châtelets","Châtelets","440109","44200","Nantes","Nantes Sud","Loire, Sèvre et Vignoble","[ 47.1964055305528 , -1.54136025001547]"
"412","verre","5.48",""," ","Rue Jacques Duclos","Duclos","440109","44300","Nantes","Nantes Erdre","Erdre et Loire","[ 47.2393149278497 , -1.54323911606732]"
"413","plastique","4.38",""," ","Rue Jacques Duclos","Duclos","440109","44300","Nantes","Nantes Erdre","Erdre et Loire","[ 47.2393405987251 , -1.54321219022544]"
"414","verre","5.48",""," ","Quai Malakoff","Malakoff","440109","44000","Nantes","Malakoff - Saint-Donatien","Nantes-Loire","[ 47.214489347414 , -1.54095932267289]"
"415","plastique","4.8",""," ","Rue Pierre Etienne Flandin","Flandin","440109","44200","Nantes","Ile de Nantes","Nantes-Loire","[ 47.2031248043213 , -1.53953047168848]"
"416","papiercarton","3.0",""," ","Rue Pierre Etienne Flandin","Flandin","440109","44200","Nantes","Ile de Nantes","Nantes-Loire","[ 47.2031142432263 , -1.53950699520862]"
"417","verre","4.0",""," ","Rue Pierre Etienne Flandin","Flandin","440109","44200","Nantes","Ile de Nantes","Nantes-Loire","[ 47.203100898811 , -1.53947423250182]"
"418","verre","4.0",""," ","Rue Morand","Morand","440109","44000","Nantes","Malakoff - Saint-Donatien","Nantes-Loire","[ 47.2316515990131 , -1.54065036019648]"
"419","verre","5.48",""," ","Rue du 51ième RA","","440109","44000","Nantes","Malakoff - Saint-Donatien","Nantes-Loire","[ 47.2289048743934 , -1.53994081417407]"
"420","plastique","4.8",""," ","Rue du 51ième RA","","440109","44000","Nantes","Malakoff - Saint-Donatien","Nantes-Loire","[ 47.2288955968998 , -1.539909845106]"
"421","papiercarton","4.8",""," ","Rue du 51ième RA","","440109","44000","Nantes","Malakoff - Saint-Donatien","Nantes-Loire","[ 47.228913604227 , -1.53989600131904]"
"422","plastique","4.0",""," ","Quai de la Jonelière","Jonelière","440109","44300","Nantes","Nantes Nord","Erdre et Cens","[ 47.2518164295725 , -1.54074224220682]"
"423","verre","3.0",""," ","Quai de la Jonelière","Jonelière","440109","44300","Nantes","Nantes Nord","Erdre et Cens","[ 47.2518516310672 , -1.54073873230178]"
