"ID_COLONNE","ID_POINT_TRI","TYPE_DECHETS","VOLUME","OBS","PREHENSION","VOIE","MOT_DIRECTEUR","CODE_COM","CODE_POSTAL","COMMUNE","QUARTIER","POLE_NM","location"
"VE0928","RE_TRI045","verre","2.5","Salle Métropolitaine"," ","Rue de la Trocardière","Trocardière","440143","44400","Rezé","Château de Rezé","Loire, Sèvre et Vignoble","[ 47.1803336704673 , -1.57287243261829]"
"VE0943","NA_TRI219","verre","3.5",""," ","Rue du Pré-Salé","Pré-Salé","440109","44200","Nantes","Ile de Nantes","Nantes-Loire","[ 47.2113438794143 , -1.52273651855625]"
"VE0926","RE_TRI046","verre","5.0",""," ","Rue Marion Cahour","Cahour","440143","44400","Rezé","Hôtel de Ville","Loire, Sèvre et Vignoble","[ 47.1892972525311 , -1.56601125010372]"
"VE0945","RE_TRI048","verre","2.5",""," ","Rue du Moulin Guibreteau","Guibreteau","440143","44400","Rezé","Ragon","Loire, Sèvre et Vignoble","[ 47.1721277412093 , -1.53689949014167]"
"VE0468","NA_TRI089","verre","4.0",""," ","Rue Pierre Yvernogeau","Yvernogeau","440109","44300","Nantes","Breil - Barberie","Nantes-Ouest","[ 47.2418743077909 , -1.57192315642734]"
"VE0469","NA_TRI089","verre","4.0",""," ","Rue Pierre Yvernogeau","Yvernogeau","440109","44300","Nantes","Breil - Barberie","Nantes-Ouest","[ 47.2418814059456 , -1.57189640072266]"
"VE0470","NA_TRI002","verre","4.38",""," ","Boulevard des Américains","Américains","440109","44300","Nantes","Breil - Barberie","Nantes-Ouest","[ 47.2348077003373 , -1.5712902278119]"
"PC0121","NA_TRI002","papiercarton","4.8",""," ","Boulevard des Américains","Américains","440109","44300","Nantes","Breil - Barberie","Nantes-Ouest","[ 47.2348067684823 , -1.57125682883473]"
"PL0124","NA_TRI002","plastique","4.8",""," ","Boulevard des Américains","Américains","440109","44300","Nantes","Breil - Barberie","Nantes-Ouest","[ 47.2348007460789 , -1.57125184380352]"
"VE0471","NA_TRI199","verre","3.0",""," ","Route de la Chapelle sur Erdre","","440109","44300","Nantes","Nantes Nord","Erdre et Cens","[ 47.2665429868165 , -1.57349453211642]"
"VE0472","NA_TRI200","verre","6.1",""," ","Boulevard Robert Schuman","Schuman","440109","44300","Nantes","Breil - Barberie","Nantes-Ouest","[ 47.2387932123668 , -1.57064046436133]"
"VE0473","NA_TRI010","verre","4.38",""," ","Boulevard Lelasseur","Lelasseur","440109","44000","Nantes","Hauts Pavés - Saint Félix","Nantes-Ouest","[ 47.2309391147223 , -1.56979874898741]"
"PC0122","NA_TRI010","papiercarton","3.0",""," ","Boulevard Lelasseur","Lelasseur","440109","44000","Nantes","Hauts Pavés - Saint Félix","Nantes-Ouest","[ 47.2309490444354 , -1.56977977987882]"
