"Nom","Adresse","CP","Ville","Tel"
"A Bicyclette","7 rue de Chateaubriant","44000","Nantes","0603288408"
"ASSBIKE","4 bis rue des OrfèvresZA La petite Meilleraye","44840","Les Sorinières","0240402147"
"ATAO Vélos","7 rue du Lamineur","44806","Saint-Herblain","0240928900"
"BECYCL","9 rue Harrouys","44470","Carquefou","0240509311"
"BIKE CENTER","8 boulevard du Maréchal Alphonse Juin","44100","Nantes","0285526282"
"BO VELO","3 cours Olivier de Clisson","44000","Nantes","0240751989"
"CULTURE VELO","187 route de Vannes","44800","Saint-Herblain","0240080101"
"CYCLES DENIER","106 rue Aristide Briand","44400","Rezé","0240756578"
"CYCLES ET JARDINS","12 place de l'Eglise","44240","La Chapelle-sur-Erdre","0240720026"
"CYCLES EVASION","46-48 route de Sainte-Luce","44300","Nantes","0240501285"
"CYCLES EXPERT","13 place Pierre Sémard","44400","Rezé","0981006381"
"CYCLES LEDUC","ZAC de la Verdière","44470","Mauves-sur-Loire","0240255776"
"DECATHLON ATLANTIS","Pôle AtlantisPlace Océane","44800","Saint-Herblain","0240920000"
"DECATHLON PARIDIS","Centre commercial Paridis","44300","Nantes","0240490809"
"DECATHLON VERTOU","Parc de la Vertonne","44120","Vertou","0251712323"
"GIANT BIKE SHOP (Cycles Lemaitre)","6 rue Moulin des Rochettes","44300","Nantes","0240593792"
"GO SPORT","3 place Bretagne","44000","Nantes","0240350500"
"GO SPORT","2 rue Pierre Mendès France","44230","Saint-Sébastien-sur-Loire","0240347165"
"HUTIN SPORTS","48 rue de Nantes","44470","Thouaré-sur-Loire","0251137712"
"INTERSPORT","Centre commercial Leclerc Pôle Sud","44115","Basse-Goulaine","0240133131"
"INTERSPORT","ZAC La Bérangerais","44240","La Chapelle-sur-Erdre","0251129292"
"JEGOU SPORT","12 bis rue de Nantes","44880","Sautron","0240403262"
"L'ATELIER DU CYCLE","49 ter rue Maurice Daniel","44230","Saint-Sébastien-sur-Loire","0240806047"
"LA GALERIE DU CYCLE","121 route de Rennes","44700","Orvault","0240404703"
"LA MUSETTE CYCLO CAFE","41 quai Malakoff","44000","Nantes","0981908195"
"OBO BIKE - SPECIALIZED (Cycles Franger)","384 route de Vannes","44700","Orvault","0251786713"
"PHIL' CYCLES","200 route de Thouaré","44980","Sainte-Luce-sur-Loire","0240256383"
"URBAN CYCLE","35 chaussée de la Madeleine","44000","Nantes","0251899270"
