Identifiant;Equipement;Période;Date de début;Date de fin;Jour de la semaine;Date de l'exception;Heure de début;Heure de fin;Type d'horaire
3143;Déchèterie d'Orvault;ANNEE 2017;2017-01-01;2017-12-31;dimanche;;10:00;17:45;Ouverture
3139;Déchèterie de Carquefou;ANNEE 2017;2017-01-01;2017-12-31;lundi;;10:00;17:45;Ouverture
3139;Déchèterie de Carquefou;ANNEE 2017;2017-01-01;2017-12-31;jeudi;;10:00;17:45;Ouverture
3139;Déchèterie de Carquefou;ANNEE 2017;2017-01-01;2017-12-31;samedi;;10:00;17:45;Ouverture
3139;Déchèterie de Carquefou;ANNEE 2017;2017-01-01;2017-12-31;dimanche;;10:00;17:45;Ouverture
3141;Déchèterie de La Chapelle sur Erdre;ANNEE 2017;2017-01-01;2017-12-31;lundi;;10:00;17:45;Ouverture
3141;Déchèterie de La Chapelle sur Erdre;ANNEE 2017;2017-01-01;2017-12-31;mardi;;10:00;17:45;Ouverture
3141;Déchèterie de La Chapelle sur Erdre;ANNEE 2017;2017-01-01;2017-12-31;dimanche;;10:00;17:45;Ouverture
3142;Déchèterie de La Montagne;ANNEE 2017;2017-01-01;2017-12-31;mardi;;10:00;17:45;Ouverture
3142;Déchèterie de La Montagne;ANNEE 2017;2017-01-01;2017-12-31;jeudi;;10:00;17:45;Ouverture
3142;Déchèterie de La Montagne;ANNEE 2017;2017-01-01;2017-12-31;dimanche;;10:00;17:45;Ouverture
3144;Déchèterie de Saint Aignan Grand Lieu;ANNEE 2017;2017-01-01;2017-12-31;mardi;;10:00;17:45;Ouverture
3140;Déchèterie de Saint Jean de Boiseau;ANNEE 2017;2017-01-01;2017-12-31;jeudi;;10:00;17:45;Ouverture
2152;Déchèterie de Saint Sébastien;ANNEE 2017;2017-01-01;2017-12-31;mercredi;;10:00;17:45;Ouverture
3146;Déchèterie de Vertou;ANNEE 2017;2017-01-01;2017-12-31;mardi;;10:00;17:45;Ouverture
1011;Déchèterie de La Prairie de Mauves;ANNEE 2017;2017-01-01;2017-12-31;mercredi;;10:00;17:45;Ouverture
1011;Déchèterie de La Prairie de Mauves;ANNEE 2017;2017-01-01;2017-12-31;jeudi;;10:00;17:45;Ouverture
